Grattan_record	Ownership	Lucille_Ownership
1431	Private	Public
5578	PPP	Public
7441	Private	Public
7658	Public	Private
7686	Private	Public
7952	Private	Public
8206	PPP	Public
8206	Private	Public
8267	Private	Public
8358	Public	Private
8566	PPP	Public
8853	Private	Public
9208	PPP	Public
9221	PPP	Public
9721	Private	Public
9757	Private	Public
9763	Private	Public
9767	Private	Public
9965	PPP	Public
9987	Private	Public
10001	PPP	Public
10023	PPP	Public
10041	Private	Public
10059	PPP	Public
10156	PPP	Public
10218	Private	Public
10669	PPP	Public
10697	PPP	Public
10704	PPP	Public
10707	PPP	Public
10803	Public	Private
10858	Private	Public
11042	Private	Public
11043	Private	Public
11048	PPP	Public
11069	PPP	Public
11128	Private	Public
11174	PPP	Public
11217	PPP	Public
11269	PPP	Public
11479	Private	Public
11507	Private	Public
11552	PPP	Public
11622	PPP	Public
11875	PPP	Public
11878	PPP	Public
11967	Private	Public
16493	PPP	Public
16495	PPP	Public
